Route_Number,Hour,Headway_min
7,0,3.4
7,1,7.5
7,5,4.4
7,6,2.3
7,7,2.1
7,8,2.1
7,9,2.1
7,10,2.4
7,11,2.2
7,12,2.0
7,13,2.0
7,14,2.4
7,15,2.5
7,16,2.5
7,17,2.5
7,18,2.5
7,19,2.5
7,20,2.4
7,21,2.4
7,22,2.5
7,23,3.2
8,0,3.9
8,1,4.1
8,2,1.0
8,5,3.8
8,6,3.5
8,7,3.6
8,8,3.3
8,9,4.2
8,10,4.1
8,11,4.2
8,12,4.5
8,13,4.9
8,14,5.1
8,15,4.5
8,16,4.5
8,17,4.3
8,18,4.4
8,19,3.9
8,20,3.9
8,21,3.9
8,22,3.9
8,23,3.9
9,0,4.6
9,1,1.8
9,5,9.0
9,6,7.3
9,7,3.7
9,8,3.5
9,9,4.6
9,10,3.9
9,11,3.7
9,12,4.0
9,13,4.4
9,14,4.4
9,15,3.3
9,16,3.4
9,17,3.9
9,18,3.5
9,19,3.9
9,20,3.5
9,21,3.1
9,22,4.0
9,23,4.7
10,5,11.3
10,6,15.0
10,7,15.0
10,8,15.0
10,9,15.0
10,14,15.0
10,15,15.0
10,16,15.0
10,17,15.0
10,18,15.0
11,0,3.2
11,1,3.0
11,5,6.0
11,6,2.7
11,7,2.4
11,8,2.6
11,9,2.4
11,10,2.6
11,11,2.4
11,12,2.5
11,13,2.5
11,14,2.2
11,15,2.3
11,16,2.4
11,17,2.4
11,18,3.0
11,19,2.8
11,20,2.6
11,21,2.4
11,22,2.6
11,23,3.1
12,0,5.0
12,1,14.0
12,2,12.0
12,5,3.8
12,6,3.0
12,7,3.1
12,8,2.8
12,9,2.3
12,10,2.3
12,11,2.3
12,12,2.5
12,13,2.7
12,14,2.2
12,15,2.5
12,16,2.5
12,17,2.5
12,18,2.5
12,19,2.7
12,20,2.7
12,21,2.7
12,22,4.2
12,23,5.0
13,0,12.5
13,1,9.0
13,5,1.0
13,6,5.9
13,7,5.1
13,8,4.4
13,9,6.2
13,10,7.8
13,11,7.6
13,12,5.6
13,13,4.9
13,14,6.2
13,15,5.3
13,16,6.2
13,17,4.5
13,18,4.4
13,19,7.1
13,20,6.8
13,21,10.4
13,22,9.0
13,23,12.5
14,0,5.1
14,1,3.5
14,5,4.3
14,6,4.6
14,7,4.4
14,8,4.6
14,9,4.4
14,10,5.4
14,11,4.4
14,12,5.3
14,13,5.0
14,14,4.9
14,15,5.3
14,16,4.3
14,17,4.2
14,18,4.8
14,19,5.4
14,20,6.1
14,21,5.5
14,22,4.2
14,23,4.5
15,0,12.7
15,1,15.0
15,5,6.0
15,6,5.0
15,7,4.6
15,8,4.6
15,9,7.9
15,10,10.2
15,11,7.3
15,12,7.9
15,13,6.7
15,14,5.0
15,15,5.2
15,16,6.0
15,17,4.7
15,18,4.9
15,19,15.0
15,20,25.0
15,21,25.0
15,22,11.0
15,23,12.7
16,0,4.3
16,1,10.8
16,5,3.8
16,6,2.8
16,7,2.4
16,8,3.7
16,9,2.9
16,10,2.9
16,11,2.7
16,12,3.7
16,13,5.0
16,14,5.0
16,15,5.0
16,16,5.0
16,17,5.0
16,18,4.6
16,19,2.9
16,20,2.9
16,21,2.9
16,22,3.7
16,23,4.0
17,0,3.8
17,1,5.8
17,5,3.8
17,6,2.9
17,7,2.9
17,8,2.9
17,9,3.4
17,10,4.2
17,11,3.5
17,12,3.8
17,13,3.8
17,14,3.3
17,15,2.8
17,16,3.4
17,17,3.0
17,18,3.6
17,19,4.2
17,20,4.4
17,21,4.4
17,22,3.7
17,23,4.0
18,0,7.4
18,5,3.4
18,6,3.4
18,7,3.2
18,8,3.6
18,9,4.3
18,10,4.5
18,11,3.2
18,12,3.4
18,13,3.7
18,14,3.6
18,15,3.5
18,16,3.1
18,17,2.8
18,18,3.4
18,19,4.5
18,20,5.1
18,21,4.2
18,22,7.4
18,23,7.4
19,0,4.9
19,1,14.5
19,5,6.2
19,6,4.5
19,7,4.2
19,8,4.3
19,9,5.1
19,10,4.5
19,11,5.1
19,12,3.8
19,13,5.7
19,14,4.3
19,15,4.5
19,16,5.8
19,17,4.2
19,18,4.1
19,19,5.8
19,20,4.3
19,21,4.9
19,22,5.5
19,23,5.1
20,0,6.4
20,1,10.0
20,5,4.5
20,6,4.4
20,7,3.7
20,8,3.9
20,9,3.9
20,10,4.0
20,11,3.6
20,12,3.6
20,13,3.8
20,14,3.2
20,15,2.7
20,16,3.2
20,17,2.9
20,18,3.7
20,19,5.0
20,20,4.8
20,21,5.6
20,22,6.9
20,23,7.9
21,0,4.2
21,1,7.0
21,5,9.0
21,6,5.8
21,7,3.6
21,8,4.2
21,9,3.6
21,10,3.6
21,11,3.9
21,12,4.3
21,13,4.1
21,14,4.5
21,15,3.6
21,16,3.1
21,17,3.4
21,18,4.0
21,19,3.6
21,20,4.0
21,21,3.6
21,22,3.6
21,23,3.7
22,0,2.6
22,1,3.9
22,2,8.0
22,5,4.8
22,6,4.5
22,7,2.8
22,8,1.7
22,9,2.0
22,10,1.9
22,11,1.8
22,12,1.8
22,13,1.9
22,14,1.7
22,15,1.8
22,16,1.9
22,17,1.7
22,18,1.8
22,19,1.9
22,20,1.7
22,21,2.5
22,22,2.6
22,23,2.6
23,0,3.9
23,1,4.5
23,5,5.9
23,6,2.3
23,7,2.3
23,8,1.8
23,9,2.2
23,10,2.3
23,11,2.8
23,12,2.5
23,13,2.5
23,14,2.4
23,15,2.5
23,16,2.5
23,17,2.5
23,18,2.3
23,19,2.4
23,20,2.3
23,21,2.3
23,22,3.1
23,23,3.9
24,0,1.9
24,1,9.0
24,2,15.0
24,4,2.0
24,5,3.7
24,6,2.1
24,7,1.7
24,8,1.8
24,9,2.0
24,10,2.0
24,11,2.2
24,12,1.6
24,13,1.6
24,14,1.6
24,15,1.7
24,16,1.7
24,17,1.8
24,18,1.7
24,19,1.8
24,20,2.0
24,21,1.9
24,22,1.7
24,23,2.1
25,0,3.2
25,1,6.7
25,2,7.5
25,5,2.0
25,6,2.1
25,7,1.8
25,8,1.8
25,9,1.5
25,10,1.8
25,11,1.7
25,12,1.6
25,13,1.7
25,14,1.6
25,15,1.5
25,16,1.5
25,17,1.4
25,18,1.4
25,19,1.9
25,20,1.7
25,21,1.8
25,22,2.9
25,23,3.2
26,0,5.8
26,1,4.5
26,2,8.0
26,5,7.7
26,6,6.6
26,7,5.0
26,8,3.5
26,9,4.1
26,10,4.1
26,11,3.2
26,12,4.3
26,13,4.0
26,14,5.5
26,15,4.6
26,16,5.1
26,17,4.5
26,18,5.6
26,19,4.8
26,20,4.4
26,21,4.7
26,22,6.2
26,23,6.0
27,0,10.0
27,1,7.4
27,2,7.5
27,5,3.1
27,6,2.0
27,7,1.8
27,8,3.1
27,9,5.1
27,10,5.1
27,11,5.1
27,12,2.6
27,13,2.4
27,14,2.2
27,15,2.6
27,16,2.6
27,17,3.5
27,18,3.3
27,19,2.6
27,20,2.6
27,21,2.6
27,22,10.0
27,23,10.0
28,0,5.7
28,1,4.0
28,6,5.2
28,7,4.8
28,8,4.6
28,9,4.2
28,10,5.4
28,11,4.3
28,12,4.0
28,13,4.1
28,14,4.7
28,15,4.0
28,16,3.8
28,17,3.9
28,18,4.9
28,19,4.0
28,20,3.9
28,21,4.6
28,22,4.1
28,23,4.3
29,0,2.1
29,1,6.4
29,5,3.2
29,6,2.7
29,7,1.7
29,8,1.9
29,9,2.0
29,10,2.0
29,11,1.7
29,12,1.2
29,13,1.2
29,14,1.2
29,15,1.2
29,16,1.2
29,17,1.2
29,18,1.3
29,19,1.6
29,20,1.6
29,21,1.6
29,22,2.1
29,23,2.1
30,0,5.9
30,5,4.5
30,6,6.2
30,7,6.2
30,8,3.5
30,9,4.5
30,10,4.2
30,11,4.2
30,12,4.5
30,13,4.4
30,14,4.5
30,15,4.7
30,16,4.7
30,17,4.6
30,18,4.5
30,19,4.0
30,20,3.9
30,21,5.3
30,22,4.7
30,23,4.6
31,0,20.0
31,1,15.0
31,5,6.8
31,6,2.9
31,7,2.3
31,8,2.4
31,9,2.9
31,10,3.1
31,11,3.1
31,12,2.9
31,13,2.9
