Neighbourhood,Incidents,Avg_Delay,Severe_Rate,Population_Density,Avg_Headway,Incidents_Per_Density
Agincourt North,217,13.34,0.25,3792.3,3.2,0.0572
Agincourt South-Malvern West,548,10.99,0.2,3069.9,3.08,0.1785
Alderwood,125,14.45,0.39,2529.9,2.73,0.0494
Annex,2567,12.37,0.19,10500.7,3.42,0.2445
Avondale,1474,14.82,0.43,13366.3,3.39,0.1103
Banbury-Don Mills,562,12.08,0.15,2704.4,3.5,0.2078
Bathurst Manor,83,21.1,0.29,3351.6,3.35,0.0248
Bay-Cloverhill,38,27.53,0.21,24141.9,3.82,0.0016
Bayview Village,296,17.98,0.61,4328.3,3.09,0.0684
Bayview Woods-Steeles,64,11.11,0.28,2955.6,2.28,0.0217
Bedford Park-Nortown,51,16.41,0.25,4013.0,2.37,0.0127
Beechborough-Greenbrook,1821,10.63,0.23,3414.0,3.8,0.5334
Bendale South,9,42.67,0.44,4216.5,3.09,0.0021
Bendale-Glen Andrew,8291,11.24,0.16,3803.0,3.68,2.1801
Birchcliffe-Cliffside,25,13.92,0.4,3777.6,3.9,0.0066
Black Creek,232,14.97,0.2,6122.1,2.51,0.0379
Briar Hill-Belgravia,5,10.8,0.2,7974.5,2.78,0.0006
Bridle Path-Sunnybrook-York Mills,672,18.12,0.45,1011.4,3.75,0.6644
Broadview North,69,28.06,0.23,6274.3,3.27,0.011
Brookhaven-Amesbury,141,16.43,0.3,4988.2,2.09,0.0283
Caledonia-Fairbank,35,16.43,0.4,6483.9,3.42,0.0054
Centennial Scarborough,1,12.0,0.0,2446.8,2.3,0.0004
Church-Wellesley,412,17.08,0.43,40129.4,3.04,0.0103
Clairlea-Birchmount,11047,13.02,0.35,3628.1,3.26,3.0448
Clanton Park,7410,13.18,0.36,4229.2,3.49,1.7521
Cliffcrest,42,15.69,0.64,2243.1,3.07,0.0187
Corso Italia-Davenport,550,14.22,0.45,6986.3,1.66,0.0787
Danforth,6654,12.25,0.25,8310.3,2.84,0.8007
Don Valley Village,4093,13.99,0.38,6356.1,4.51,0.6439
Dorset Park,1053,12.88,0.23,4042.7,2.88,0.2605
Dovercourt Village,1899,13.24,0.29,8236.9,2.53,0.2305
Downsview,5428,13.0,0.37,2169.6,3.9,2.5018
Downtown Yonge East,177,28.99,0.38,21892.4,2.56,0.0081
Dufferin Grove,26,16.27,0.42,8080.6,2.82,0.0032
East L'Amoreaux,42,16.67,0.21,5818.4,2.76,0.0072
East Willowdale,84,15.38,0.44,4406.9,2.05,0.0191
Edenbridge-Humber Valley,3,34.33,0.67,2756.0,4.37,0.0011
Eglinton East,172,18.09,0.27,6991.3,2.8,0.0246
Elms-Old Rexdale,10,58.5,0.7,3191.6,3.31,0.0031
Englemount-Lawrence,2992,19.01,0.61,6119.7,2.51,0.4889
Eringate-Centennial-West Deane,233,9.82,0.18,2134.0,2.81,0.1092
Etobicoke City Centre,12223,15.35,0.41,2328.6,3.2,5.2491
Fenside-Parkwoods,1,1.0,0.0,6186.1,3.9,0.0002
Flemingdon Park,80,9.41,0.21,9109.3,3.55,0.0088
