Route_Number,Incidents,Avg_Delay,Severe_Rate,Avg_Headway,Risk_Score
1.0,417,14.163,0.252,3.9,13.92
2.0,364,38.874,0.451,3.9,68.38
5.0,1341,28.532,0.647,3.9,71.99
6.0,3934,22.834,0.309,3.9,27.52
7.0,11193,13.363,0.105,2.573,3.61
8.0,772,30.869,0.838,4.114,106.42
9.0,2354,24.422,0.814,4.304,85.56
10.0,465,17.895,0.546,14.18,138.55
11.0,4863,19.613,0.524,2.602,26.74
12.0,5060,21.482,0.679,2.845,41.5
13.0,620,50.613,0.919,5.933,275.96
14.0,1710,40.492,0.913,4.75,175.6
15.0,1127,27.309,0.634,7.363,127.48
16.0,3934,15.827,0.204,4.054,13.09
17.0,4602,20.941,0.485,3.416,34.69
19.0,976,35.655,0.779,4.825,134.02
20.0,2462,32.074,0.663,4.032,85.74
21.0,3354,19.588,0.535,4.319,45.26
22.0,2550,20.613,0.137,2.287,6.46
23.0,2650,21.898,0.163,2.701,9.64
24.0,9907,12.944,0.193,2.003,5.0
25.0,8947,10.316,0.095,1.895,1.86
26.0,2184,33.413,0.848,4.946,140.14
28.0,424,40.606,0.903,4.426,162.29
29.0,15492,13.211,0.119,1.804,2.84
30.0,1035,28.556,0.898,4.651,119.27
31.0,1090,23.628,0.402,4.35,41.32
32.0,18096,14.384,0.169,4.849,11.79
33.0,937,36.943,0.904,6.582,219.82
34.0,11134,13.535,0.233,6.244,19.69
35.0,12001,15.395,0.185,1.972,5.62
36.0,14837,12.276,0.132,1.707,2.77
37.0,5484,25.925,0.717,2.4,44.61
38.0,4112,16.712,0.272,2.576,11.71
39.0,10111,14.91,0.396,1.919,11.33
40.0,2779,21.787,0.609,2.757,36.58
41.0,9607,18.706,0.285,2.439,13.0
42.0,4498,20.45,0.429,3.272,28.71
43.0,6366,15.906,0.276,1.697,7.45
44.0,3311,10.732,0.103,1.947,2.15
45.0,5878,14.924,0.278,2.347,9.74
46.0,2621,22.044,0.542,5.06,60.46
47.0,7667,22.092,0.603,1.616,21.53
48.0,733,23.947,0.656,7.893,123.99
49.0,717,19.128,0.569,9.054,98.54
50.0,1033,26.751,0.647,3.413,59.07
51.0,3174,28.533,0.88,2.839,71.28
52.0,17842,18.336,0.531,1.472,14.33
53.0,11948,13.98,0.291,2.028,8.25
54.0,13247,15.566,0.269,2.011,8.42
55.0,627,46.898,0.915,5.719,245.41
56.0,2365,27.38,0.766,3.9,81.8
57.0,3343,19.129,0.327,3.094,19.35
59.0,2448,34.638,0.739,4.371,111.89
60.0,9574,14.388,0.168,2.309,5.58
61.0,2096,19.353,0.52,5.078,51.1
62.0,1607,35.577,0.825,4.093,120.13
63.0,11151,13.743,0.112,1.334,2.05
64.0,2443,31.596,0.229,4.387,31.74
65.0,2579,22.001,0.394,3.062,26.54
66.0,1631,21.723,0.633,3.128,43.01
67.0,1931,21.312,0.582,3.856,47.83
68.0,5278,19.513,0.437,2.674,22.8
69.0,1569,21.249,0.462,3.992,39.19
70.0,2989,20.233,0.65,3.047,40.07
71.0,2112,33.816,0.601,4.651,94.52
72.0,5280,22.148,0.482,1.852,19.77
73.0,3623,24.313,0.715,2.642,45.93
74.0,1128,28.174,0.921,5.204,135.03
75.0,5108,20.876,0.28,2.461,14.39
76.0,2797,14.026,0.173,2.4,5.82
77.0,745,41.995,0.538,4.412,99.68
78.0,1028,26.391,0.786,5.582,115.79
79.0,4190,21.21,0.518,3.302,36.28
80.0,1712,33.737,0.917,3.386,104.75
81.0,1974,12.349,0.102,3.9,4.91
82.0,505,41.418,0.814,5.929,199.89
83.0,1296,22.78,0.487,3.561,39.51
84.0,7046,16.646,0.291,1.577,7.64
85.0,10402,16.614,0.483,2.205,17.69
86.0,7791,14.195,0.321,1.87,8.52
87.0,5738,17.766,0.09,3.053,4.88
88.0,2684,23.789,0.563,2.831,37.92
89.0,7637,13.997,0.151,2.509,5.3
90.0,3663,12.225,0.11,4.222,5.68
91.0,2562,30.726,0.642,6.04,119.15
92.0,1754,15.617,0.182,2.798,7.95
93.0,377,34.607,0.703,4.818,117.22
94.0,4981,23.219,0.423,3.01,29.56
95.0,12224,13.977,0.263,1.935,7.11
96.0,8355,22.515,0.729,2.227,36.55
97.0,4904,37.467,0.922,3.819,131.93
98.0,1757,30.866,0.888,5.253,143.98
99.0,308,29.023,0.724,3.701,77.77
100.0,6517,12.78,0.141,2.514,4.53
101.0,434,28.521,0.721,7.372,151.6
102.0,12010,18.91,0.437,1.681,13.89
103.0,204,50.255,0.926,4.271,198.76
104.0,1729,23.929,0.78,4.669,87.15
105.0,1611,22.255,0.633,4.911,69.18
